Brand,CRT Model,Size/Type,CNC System,LCD Replacement,Resolution,Status,URL
"FANUC","A61L-0001-0072","9" Color CRT","FANUC 6M/6T","Kongto 8" TFT-LCD","800x600","Available","/en/products/fanuc-a61l-0001-0072-lcd-upgrade.html"
"FANUC","A61L-0001-0074","14" Color CRT","FANUC 0/0i/16i/18i/21i","Kongto 12.1" TFT-LCD","1024x768","Available","/en/products/fanuc-a61l-0001-0074-lcd-upgrade.html"
"FANUC","A61L-0001-0076","9" Color CRT","FANUC 6/6B/6BII","Kongto 8" TFT-LCD","800x600","Available","/en/products/fanuc-a61l-0001-0076-lcd-upgrade.html"
"FANUC","A61L-0001-0077","12" Color CRT","FANUC 6 Series","Kongto 10.4" TFT-LCD","1024x768","Available","/en/quote.html"
"FANUC","A61L-0001-0086","8.4" Monochrome CRT","FANUC 0/0i","Kongto 8.4" TFT-LCD","800x600","Available","/en/products/fanuc-a61l-0001-0086-lcd-upgrade.html"
"FANUC","A61L-0001-0090","9" Color CRT","FANUC 0-TC/0-MC","Kongto 8" TFT-LCD","800x600","Available","/en/products/fanuc-a61l-0001-0090-lcd-upgrade.html"
"FANUC","A61L-0001-0092","9" Color CRT","FANUC 0/0i","Kongto 8" TFT-LCD","800x600","Available","/en/products/fanuc-a61l-0001-0092-lcd-upgrade.html"
"FANUC","A61L-0001-0093","9" Color CRT","FANUC 0/0i/OM-D","Kongto 8" TFT-LCD","800x600","Available","/en/products/fanuc-a61l-0001-0093-lcd-upgrade.html"
"FANUC","A61L-0001-0094","14" Color CRT","FANUC 0i/16i/18i","Kongto 12.1" TFT-LCD","1024x768","Available","/en/products/fanuc-a61l-0001-0094-lcd-upgrade.html"
"FANUC","A61L-0001-0095","9" Color CRT","FANUC 0i/16i","Kongto 8" TFT-LCD","800x600","Available","/en/products/fanuc-a61l-0001-0095-lcd-upgrade.html"
"FANUC","A61L-0001-0096","14" Color CRT","FANUC 0i/Power Mate","Kongto 12.1" TFT-LCD","1024x768","Available","/en/products/fanuc-a61l-0001-0096-lcd-upgrade.html"
"FANUC","A61L-0001-0097","14" Color CRT","FANUC 0i/16i/18i","Kongto 12.1" TFT-LCD","1024x768","Available","/en/products/fanuc-a61l-0001-0097-lcd-upgrade.html"
"FANUC","MDT947B-1A","9" Color CRT","FANUC 0/0i","Kongto 8" TFT-LCD","800x600","Available","/en/products/fanuc-a61l-0001-0092-lcd-upgrade.html"
"FANUC","D9MM-11A-0093","9" Color CRT","FANUC 0/0i","Kongto 8" TFT-LCD","800x600","Available","/en/products/toshiba-d9mm-11a-lcd-upgrade.html"
"Toshiba","D9MM-11A","9" Color CRT","FANUC 0/0i (OEM)","Kongto 8" TFT-LCD","800x600","Available","/en/products/toshiba-d9mm-11a-lcd-upgrade.html"
"Toshiba","D14CM-01A","14" Color CRT","FANUC 16/18 (OEM)","Kongto 12.1" TFT-LCD","1024x768","Available","/en/products/toshiba-d14cm-01a-lcd-upgrade.html"
"Toshiba","KF-M7099H","9" Color CRT","FANUC 0/0i (OEM)","Kongto 8" TFT-LCD","800x600","Available","/en/products/toshiba-d9mm-11a-lcd-upgrade.html"
"Mitsubishi","MDT962B","9" Color CRT","Mitsubishi M64/E60","Kongto 8" TFT-LCD","800x600","Available","/en/products/mitsubishi-mdt962b-lcd-upgrade.html"
"Mitsubishi","MDT962B-1A","9" Color CRT","Mitsubishi M64/E60","Kongto 8" TFT-LCD","800x600","Available","/en/products/mitsubishi-mdt962b-lcd-upgrade.html"
"Mitsubishi","MDT962B-4A","9" Color CRT","Mitsubishi M64/E60","Kongto 8" TFT-LCD","800x600","Available","/en/products/mitsubishi-mdt962b-lcd-upgrade.html"
"Mitsubishi","BM09DF","9" Color CRT","Mitsubishi E60/E68","Kongto 8" TFT-LCD","800x600","Available","/en/products/mitsubishi-bm09df-lcd-upgrade.html"
"Mitsubishi","FCUA-CT100","9" Color CRT","Mitsubishi M500/M520","Kongto 8" TFT-LCD","800x600","Available","/en/products/mitsubishi-fcua-ct100-lcd-upgrade.html"
"Mitsubishi","MDT947B","9" Color CRT","Mitsubishi M3/M310","Kongto 8" TFT-LCD","800x600","Available","/en/quote.html"
"Mitsubishi","MDT1283B","12" Monochrome CRT","Mitsubishi M64/M3/M300","Kongto 10.4" TFT-LCD","1024x768","Available","/en/products/mazak-mdt1283b-lcd-upgrade.html"
"Mitsubishi","BM14RTA","14" Color CRT","Mitsubishi M700/M70","Kongto 12.1" TFT-LCD","1024x768","Available","/en/quote.html"
"Siemens","6FC3988-7FA20","9" Color CRT","SINUMERIK 810/820","Kongto 8" TFT-LCD","800x600","Available","/en/products/siemens-6fc3988-7fa20-lcd-upgrade.html"
"Siemens","SM0901 / 579417TA","9" Color CRT","SINUMERIK 810M","Kongto 8" TFT-LCD","800x600","Available","/en/products/siemens-sm0901-lcd-upgrade.html"
"Siemens","6FC5103-0AB01","15" Color CRT","SINUMERIK 840D","Kongto 15" TFT-LCD","1024x768","Available","/en/products/siemens-6fc5103-lcd-upgrade.html"
